age,education_level,study_hours_per_day,uses_ai,ai_tools_used,purpose_of_ai,grades_before_ai,grades_after_ai,daily_screen_time_hours
18,college,1.0,No,,,58,58,3
15,school,2.7,No,,,60,60,6
16,school,2.8,No,,,60,60,4
19,college,4.6000000000000005,No,,,62,62,4
16,school,2.0,Yes,Copilot,Coding,72,77,7
19,college,3.9,No,,,67,67,7
15,school,1.0999999999999999,Yes,ChatGPT,Homework,74,80,7
16,school,1.2999999999999998,No,,,58,58,4
19,college,1.2,Yes,Gemini,Homework,62,68,5
15,school,1.3,Yes,Copilot,Coding,62,76,3
14,school,4.5,No,,,64,64,3
15,school,4.2,No,,,73,73,7
19,college,3.8,No,,,67,67,7
17,college,1.6,Yes,Copilot,Coding,63,76,3
18,college,0.9,No,,,58,58,3
15,school,1.2,Yes,Copilot,Coding,62,76,3
14,school,3.4,No,,,56,56,2
15,school,4.7,No,,,61,61,7
17,college,4.3,No,,,74,74,7
19,college,3.9,No,,,67,67,3
16,school,4.199999999999999,No,,,60,60,7
16,school,1.8,No,,,75,75,2
17,college,4.6,Yes,Gemini,Homework,67,76,5
18,college,3.4,Yes,ChatGPT,Research,67,76,7
19,college,2.1,No,,,57,57,7
15,school,4.8,Yes,ChatGPT,Homework,68,73,3
19,college,1.9,No,,,57,57,7
15,school,3.7,Yes,ChatGPT,Research,62,69,7
14,school,1.3,Yes,ChatGPT,Homework,56,66,2
18,college,3.6,Yes,ChatGPT,Research,67,76,7
18,college,3.4,Yes,ChatGPT,Research,67,76,7
15,school,2.1,No,,,73,73,5
14,school,3.3000000000000003,No,,,59,59,4
15,school,4.0,No,,,62,62,5
14,school,1.6,Yes,Gemini,Coding,59,67,2
15,school,4.1,No,,,69,69,4
14,school,4.2,No,,,63,63,2
14,school,2.7,No,,,60,60,5
16,school,4.5,No,,,66,66,7
18,college,3.0,Yes,ChatGPT,Research,59,71,7
17,college,2.5,Yes,ChatGPT,Homework,61,72,4
16,school,1.8,No,,,75,75,2
19,college,3.9,Yes,Gemini,Homework,63,74,5
19,college,2.0,No,,,57,57,7
15,school,4.6,Yes,ChatGPT,Coding,70,76,6
16,school,3.0,No,,,61,61,6
19,college,3.9,Yes,Gemini,Homework,63,74,5
19,college,3.8,Yes,Gemini,Homework,63,74,5
16,school,3.4,Yes,Copilot,Research,72,78,5
15,school,4.5,No,,,71,71,5
17,college,3.4,No,,,71,71,4
19,college,2.1,Yes,ChatGPT,Homework,56,64,5
15,school,1.3,Yes,Copilot,Coding,62,76,3
17,college,2.5,No,,,59,59,4
15,school,4.4,No,,,71,71,5
15,school,1.5,No,,,72,72,3
19,college,3.8,Yes,Gemini,Research,59,74,7
14,school,4.5,No,,,64,64,3
15,school,5.0,Yes,Gemini,Coding,73,88,2
16,school,3.4,Yes,Copilot,Research,72,78,5
15,school,1.0999999999999999,Yes,ChatGPT,Homework,74,80,7
18,college,2.4,Yes,Copilot,Research,71,80,7
14,school,3.1,No,,,73,73,3
18,college,2.7,Yes,ChatGPT,Coding,70,76,2
18,college,2.1,No,,,61,61,6
15,school,1.9,Yes,Copilot,Homework,75,88,5
19,college,2.1,Yes,ChatGPT,Homework,56,64,5
16,school,3.5,Yes,Copilot,Research,72,78,5
17,college,3.2,No,,,72,72,2
17,college,2.6,No,,,59,59,4
16,school,2.6999999999999997,No,,,60,60,4
16,school,3.0,No,,,61,61,6
18,college,1.9,No,,,61,61,6
18,college,2.6,Yes,ChatGPT,Coding,70,76,2
16,school,1.9000000000000001,No,,,75,75,2
18,college,3.6,No,,,69,69,5
15,school,3.9,No,,,62,62,5
14,school,4.5,No,,,64,64,3
18,college,1.5,Yes,Gemini,Homework,68,73,6
16,school,2.8,No,,,60,60,4
15,school,5.0,Yes,Gemini,Coding,73,88,2
19,college,3.9,Yes,Gemini,Homework,63,74,5
15,school,2.8000000000000003,No,,,69,69,3
18,college,2.7,No,,,55,55,2
15,school,2.8000000000000003,Yes,Gemini,Research,56,66,3
17,college,2.1999999999999997,No,,,72,72,3
18,college,4.7,No,,,70,70,2
14,school,4.2,No,,,63,63,2
18,college,2.1,No,,,61,61,6
15,school,1.2,Yes,Copilot,Coding,62,76,3
15,school,1.7999999999999998,Yes,Copilot,Homework,75,88,5
16,school,1.8,No,,,56,56,2
14,school,2.2,No,,,57,57,3
16,school,1.5,Yes,Copilot,Coding,59,68,4
14,school,4.5,No,,,70,70,2
17,college,2.6,No,,,68,68,2
15,school,4.3999999999999995,No,,,73,73,7
17,college,3.2,No,,,72,72,2
15,school,4.7,Yes,ChatGPT,Homework,68,73,3
18,college,2.7,No,,,55,55,2
14,school,4.4,No,,,70,70,2
18,college,1.6,Yes,Gemini,Homework,68,73,6
16,school,1.6,Yes,Copilot,Coding,59,68,4
15,school,3.5,Yes,ChatGPT,Research,62,69,7
15,school,4.6000000000000005,No,,,61,61,7
15,school,2.5,Yes,Copilot,Coding,56,70,2
19,college,3.9,Yes,Gemini,Research,59,74,7
16,school,3.2,No,,,61,61,6
16,school,2.8000000000000003,No,,,59,59,3
15,school,4.6,Yes,ChatGPT,Coding,70,76,6
15,school,3.9,No,,,62,62,5
14,school,3.2,No,,,59,59,4
19,college,3.9,Yes,Gemini,Homework,63,74,5
19,college,3.1,No,,,56,56,3
16,school,2.9,No,,,60,60,4
19,college,4.0,Yes,Gemini,Research,59,74,7
18,college,3.6,Yes,ChatGPT,Research,67,76,7
14,school,3.2,No,,,59,59,4
14,school,2.6999999999999997,Yes,ChatGPT,Coding,72,77,2
19,college,2.1,No,,,57,57,7
16,school,2.6999999999999997,No,,,60,60,4
17,college,2.3,No,,,72,72,3
18,college,4.6000000000000005,No,,,70,70,2
14,school,2.7,No,,,60,60,5
15,school,1.4,No,,,72,72,3
19,college,4.5,No,,,72,72,5
14,school,1.3,Yes,ChatGPT,Homework,56,66,2
19,college,3.8,No,,,67,67,3
15,school,1.2,Yes,ChatGPT,Homework,74,80,7
16,school,3.1,No,,,61,61,6
14,school,3.1,No,,,59,59,4
15,school,3.5,Yes,ChatGPT,Research,62,69,7
15,school,4.8,No,,,61,61,7
15,school,1.3,Yes,ChatGPT,Homework,74,80,7
19,college,2.1,Yes,Gemini,Coding,68,82,7
15,school,4.4,Yes,ChatGPT,Coding,70,76,6
17,college,2.3,Yes,ChatGPT,Homework,61,72,4
16,school,4.199999999999999,No,,,58,58,4
17,college,1.8,Yes,Copilot,Research,66,77,5
18,college,4.7,No,,,75,75,6
17,college,1.6,Yes,Copilot,Coding,63,76,3
18,college,4.7,No,,,75,75,6
17,college,3.8,Yes,ChatGPT,Homework,61,74,5
16,school,1.9,Yes,Copilot,Coding,72,77,7
15,school,4.7,No,,,61,61,7
16,school,2.2,No,,,68,68,6
16,school,1.5,No,,,58,58,4
16,school,1.6,Yes,Copilot,Coding,59,68,4
19,college,4.0,Yes,Gemini,Homework,63,74,5
17,college,2.6,No,,,59,59,4
14,school,1.6,Yes,Copilot,Research,74,80,5
18,college,3.5,No,,,69,69,5
18,college,2.9,Yes,ChatGPT,Research,59,71,7
15,school,4.4,Yes,ChatGPT,Coding,70,76,6
14,school,4.2,No,,,63,63,2
19,college,3.1,No,,,56,56,3
16,school,2.9,Yes,ChatGPT,Research,74,88,2
15,school,1.5999999999999999,No,,,70,70,3
14,school,3.3000000000000003,No,,,59,59,4
16,school,1.9000000000000001,No,,,75,75,2
15,school,5.0,Yes,Gemini,Coding,73,88,2
17,college,1.5,Yes,Copilot,Coding,63,76,3
15,school,2.7,Yes,Copilot,Coding,56,70,2
14,school,2.2,No,,,57,57,3
19,college,4.0,Yes,Gemini,Research,59,74,7
14,school,3.1,No,,,73,73,3
18,college,1.5,Yes,Gemini,Homework,68,73,6
15,school,4.3,No,,,73,73,7
17,college,2.4,Yes,ChatGPT,Homework,61,72,4
18,college,4.9,No,,,69,69,6
19,college,2.0,Yes,Gemini,Coding,68,82,7
15,school,4.4,No,,,71,71,5
15,school,2.0,No,,,73,73,5
15,school,1.0999999999999999,Yes,ChatGPT,Homework,74,80,7
18,college,3.7,Yes,Gemini,Research,57,72,4
15,school,4.300000000000001,No,,,71,71,5
19,college,2.6,No,,,58,58,3
18,college,2.5,Yes,ChatGPT,Coding,70,76,2
18,college,3.0,Yes,ChatGPT,Research,59,71,7
16,school,1.7999999999999998,No,,,65,65,6
19,college,2.1,Yes,Gemini,Coding,68,82,7
19,college,2.7,No,,,59,59,3
16,school,2.2,No,,,68,68,6
18,college,2.7,No,,,55,55,2
17,college,2.5,Yes,ChatGPT,Homework,61,72,4
19,college,3.8,No,,,67,67,3
18,college,4.4,Yes,Gemini,Research,75,89,3
16,school,2.7,No,,,59,59,3
17,college,4.5,Yes,Gemini,Homework,67,76,5
17,college,4.0,Yes,ChatGPT,Homework,61,74,5
16,school,2.0,No,,,65,65,6
16,school,2.9,No,,,60,60,4
14,school,4.7,No,,,62,62,2
16,school,2.8,No,,,60,60,4
18,college,3.7,Yes,Gemini,Research,57,72,4
16,school,1.0999999999999999,No,,,71,71,6
15,school,1.0999999999999999,Yes,ChatGPT,Homework,74,80,7
16,school,2.0,Yes,Copilot,Coding,72,77,7
15,school,4.5,Yes,ChatGPT,Coding,70,76,6
15,school,4.7,Yes,ChatGPT,Homework,68,73,3
17,college,2.6,No,,,59,59,4
15,school,4.3999999999999995,No,,,73,73,7
16,school,3.2,No,,,61,61,6
18,college,3.4,Yes,ChatGPT,Research,67,76,7
18,college,2.4,Yes,Copilot,Research,71,80,7
18,college,2.6,Yes,ChatGPT,Coding,70,76,2
16,school,2.9,No,,,60,60,4
19,college,3.1,No,,,56,56,3
17,college,2.7,No,,,59,59,4
16,school,2.6999999999999997,Yes,ChatGPT,Research,74,88,2
16,school,1.8,No,,,75,75,2
14,school,4.2,No,,,63,63,2
15,school,4.8,Yes,ChatGPT,Homework,68,73,3
16,school,1.8,No,,,56,56,2
15,school,4.6,Yes,ChatGPT,Coding,70,76,6
17,college,1.5,Yes,Copilot,Coding,63,76,3
16,school,1.6,Yes,Copilot,Coding,59,68,4
18,college,1.8,No,,,61,61,7
19,college,4.300000000000001,No,,,63,63,2
18,college,4.5,Yes,Gemini,Research,75,89,3
18,college,1.8,No,,,60,60,6
19,college,3.9,No,,,67,67,7
17,college,1.9000000000000001,Yes,Copilot,Research,66,77,5
14,school,4.6000000000000005,No,,,62,62,2
16,school,2.6,No,,,59,59,3
17,college,1.5,Yes,Copilot,Coding,63,76,3
18,college,4.8,No,,,70,70,2
18,college,1.7,No,,,61,61,7
17,college,3.5,No,,,63,63,3
15,school,3.9,Yes,Copilot,Research,56,61,2
14,school,4.3,No,,,63,63,2
16,school,4.6,No,,,66,66,7
15,school,1.2,Yes,Copilot,Coding,62,76,3
19,college,4.300000000000001,No,,,63,63,2
18,college,3.4,Yes,ChatGPT,Research,67,76,7
19,college,2.0,No,,,57,57,7
16,school,2.0,No,,,65,65,6
15,school,1.4,No,,,72,72,3
16,school,4.1,No,,,60,60,7
15,school,4.300000000000001,No,,,71,71,5
18,college,0.9,No,,,58,58,3
17,college,2.4,No,,,72,72,3
15,school,3.5,Yes,ChatGPT,Research,62,69,7
19,college,3.9,No,,,67,67,3
15,school,4.6000000000000005,No,,,61,61,7
19,college,3.2,No,,,56,56,3
18,college,3.0,Yes,ChatGPT,Research,59,71,7
16,school,2.7,No,,,59,59,3
16,school,2.3000000000000003,No,,,68,68,6
17,college,2.3,No,,,72,72,3
17,college,1.7000000000000002,Yes,Copilot,Coding,63,76,3
15,school,4.3,No,,,73,73,7
19,college,4.6000000000000005,No,,,62,62,4
19,college,2.3000000000000003,Yes,ChatGPT,Homework,56,64,5
18,college,3.7,No,,,69,69,5
16,school,4.199999999999999,No,,,60,60,7
15,school,3.6,Yes,ChatGPT,Research,62,69,7
18,college,3.5,No,,,69,69,5
14,school,1.6,Yes,Copilot,Research,74,80,5
15,school,5.0,Yes,Gemini,Coding,73,88,2
18,college,3.6,No,,,69,69,5
15,school,2.7,No,,,69,69,3
16,school,1.2999999999999998,No,,,58,58,4
19,college,2.4,No,,,58,58,3
15,school,4.6000000000000005,No,,,61,61,7
19,college,2.5,No,,,58,58,3
16,school,4.4,No,,,66,66,7
16,school,2.1,No,,,68,68,6
18,college,4.6000000000000005,No,,,70,70,2
15,school,3.6,Yes,ChatGPT,Research,62,69,7
19,college,1.7999999999999998,No,,,60,60,7
17,college,1.8,Yes,Copilot,Research,66,77,5
18,college,4.300000000000001,Yes,Copilot,Coding,58,73,6
18,college,2.1999999999999997,Yes,Copilot,Research,71,80,7
16,school,1.5999999999999999,No,,,56,56,2
15,school,2.7,Yes,Gemini,Research,56,66,3
18,college,2.7,No,,,68,68,6
18,college,2.7,No,,,68,68,6
19,college,1.5,No,,,62,62,3
14,school,1.4000000000000001,Yes,Copilot,Homework,66,80,6
19,college,2.2,Yes,ChatGPT,Homework,56,64,5
17,college,4.6,Yes,Gemini,Homework,67,76,5
18,college,3.0,Yes,ChatGPT,Research,59,71,7
15,school,1.4,No,,,72,72,3
15,school,4.0,No,,,69,69,4
15,school,4.8,No,,,61,61,7
14,school,4.7,No,,,62,62,2
18,college,2.2,Yes,Gemini,Research,61,72,6
15,school,4.800000000000001,Yes,Gemini,Coding,73,88,2
16,school,2.6,No,,,59,59,3
15,school,4.0,No,,,62,62,5
14,school,3.6,No,,,56,56,2
17,college,1.7,Yes,Copilot,Research,66,77,5
18,college,3.6,Yes,Gemini,Research,57,72,4
15,school,4.9,Yes,Gemini,Coding,73,88,2
18,college,3.4,Yes,ChatGPT,Research,67,76,7
18,college,2.8000000000000003,No,,,68,68,6
15,school,1.2,Yes,ChatGPT,Homework,74,80,7
19,college,2.1,No,,,57,57,7
15,school,3.7,Yes,ChatGPT,Research,62,69,7
17,college,3.2,No,,,72,72,2
14,school,3.3000000000000003,No,,,73,73,3
14,school,3.6,No,,,56,56,2
15,school,1.5,No,,,72,72,3
17,college,3.1,No,,,72,72,2
18,college,2.5,Yes,ChatGPT,Coding,70,76,2
19,college,2.0,No,,,60,60,7
18,college,2.1,Yes,Gemini,Research,61,72,6
14,school,4.8,No,,,62,62,2
19,college,4.0,Yes,Gemini,Homework,63,74,5
17,college,3.4,No,,,71,71,4
14,school,1.2,Yes,Copilot,Homework,66,80,6
14,school,4.1000000000000005,No,,,63,63,2
17,college,4.6,Yes,Gemini,Homework,67,76,5
15,school,4.2,No,,,73,73,7
19,college,2.4,No,,,58,58,3
17,college,1.8,Yes,Copilot,Research,66,77,5
17,college,1.5,Yes,Copilot,Coding,63,76,3
17,college,2.5,No,,,59,59,4
14,school,4.4,No,,,64,64,3
18,college,2.1,No,,,61,61,6
17,college,3.6,No,,,63,63,3
19,college,3.8,Yes,Gemini,Homework,63,74,5
14,school,1.3,Yes,Copilot,Homework,66,80,6
18,college,2.4,Yes,Copilot,Research,71,80,7
18,college,2.1,Yes,Gemini,Research,61,72,6
17,college,2.5,Yes,ChatGPT,Homework,61,72,4
16,school,2.9,No,,,60,60,4
15,school,4.3,No,,,73,73,7
15,school,4.3,No,,,73,73,7
14,school,2.8,Yes,ChatGPT,Coding,72,77,2
16,school,4.5,No,,,66,66,7
18,college,4.300000000000001,Yes,Copilot,Coding,58,73,6
17,college,4.5,Yes,Gemini,Homework,67,76,5
14,school,3.3000000000000003,No,,,59,59,4
15,school,1.2,Yes,ChatGPT,Homework,74,80,7
19,college,2.6,No,,,58,58,3
16,school,1.3,No,,,71,71,6
15,school,4.6000000000000005,No,,,61,61,7
15,school,1.3,Yes,Copilot,Coding,62,76,3
15,school,1.9,Yes,Copilot,Homework,75,88,5
15,school,4.8,No,,,61,61,7
15,school,4.7,No,,,61,61,7
14,school,2.1,No,,,57,57,3
16,school,1.9,No,,,65,65,6
14,school,2.8,Yes,ChatGPT,Coding,72,77,2
18,college,0.9,No,,,58,58,3
15,school,1.9,Yes,Copilot,Homework,75,88,5
18,college,2.1,No,,,61,61,6
16,school,2.7,No,,,59,59,3
15,school,5.0,Yes,Gemini,Coding,73,88,2
15,school,5.0,Yes,Gemini,Coding,73,88,2
17,college,4.2,No,,,74,74,7
17,college,3.3000000000000003,No,,,72,72,2
14,school,4.7,No,,,62,62,2
18,college,4.300000000000001,Yes,Gemini,Research,75,89,3
15,school,2.9,No,,,55,55,3
15,school,3.9,No,,,69,69,4
15,school,1.9,Yes,Copilot,Homework,75,88,5
15,school,4.9,Yes,Gemini,Coding,73,88,2
15,school,3.5,Yes,ChatGPT,Research,62,69,7
19,college,2.3000000000000003,Yes,ChatGPT,Homework,56,64,5
14,school,4.8,No,,,62,62,2
16,school,3.9999999999999996,No,,,58,58,4
19,college,3.6999999999999997,No,,,67,67,3
15,school,3.6,Yes,ChatGPT,Research,62,69,7
14,school,2.2,No,,,57,57,3
14,school,4.2,No,,,63,63,2
15,school,4.6000000000000005,No,,,61,61,7
14,school,3.3000000000000003,No,,,73,73,3
18,college,4.300000000000001,Yes,Gemini,Research,75,89,3
15,school,2.6,No,,,69,69,3
15,school,1.0999999999999999,Yes,ChatGPT,Homework,74,80,7
16,school,3.1,No,,,61,61,6
19,college,4.0,Yes,Gemini,Research,59,74,7
15,school,1.9,Yes,Copilot,Homework,75,88,5
17,college,1.7,Yes,Copilot,Research,66,77,5
19,college,3.9,Yes,Gemini,Research,59,74,7
19,college,4.300000000000001,No,,,63,63,2
18,college,2.6,Yes,ChatGPT,Coding,70,76,2
15,school,3.9,No,,,69,69,4
19,college,2.6,No,,,58,58,3
16,school,4.199999999999999,No,,,58,58,4
18,college,2.6,Yes,ChatGPT,Coding,70,76,2
19,college,2.3000000000000003,Yes,ChatGPT,Homework,56,64,5
15,school,4.5,Yes,ChatGPT,Coding,70,76,6
16,school,2.8,Yes,ChatGPT,Research,74,88,2
15,school,4.4,No,,,71,71,5
14,school,2.2,No,,,57,57,3
17,college,2.6,No,,,59,59,4
17,college,3.6,No,,,63,63,3
14,school,3.1,No,,,59,59,4
15,school,2.6,Yes,Copilot,Coding,56,70,2
19,college,1.9,No,,,57,57,7
18,college,4.8,No,,,70,70,2
15,school,1.2,Yes,Copilot,Coding,62,76,3
14,school,4.5,No,,,70,70,2
17,college,3.4,No,,,71,71,4
14,school,1.4000000000000001,Yes,ChatGPT,Homework,56,66,2
16,school,2.1,No,,,68,68,6
18,college,3.6,Yes,ChatGPT,Research,67,76,7
14,school,1.3,Yes,Copilot,Homework,66,80,6
14,school,3.4,No,,,56,56,2
17,college,4.3,No,,,74,74,7
18,college,2.1999999999999997,Yes,Copilot,Research,71,80,7
15,school,4.4,No,,,71,71,5
18,college,2.5,Yes,ChatGPT,Coding,70,76,2
18,college,0.9,No,,,58,58,3
18,college,2.7,No,,,55,55,2
16,school,1.8,No,,,56,56,2
16,school,1.9,No,,,65,65,6
15,school,2.8,No,,,55,55,3
18,college,1.9000000000000001,No,,,60,60,6
18,college,2.2,Yes,Gemini,Research,61,72,6
